name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Pasta per flammkuchen, cruda",,,7.5,39.9,2.9,221,1.4,0.6,0.5,,,0.6,1.3,2.7,0.006,,,0.00014000000000000001,4e-05,0.0005200000000000001,0.00034,0.00013000000000000002,,1.76e-05,0.0,0.0,0.0,0.0003,,,0.025,0.11,0.011,,0.0008,0.5,0.0011,0.088,2.8e-06,8.000000000000001e-07,,
"Pasta per pizza (con grasso vegetale), cruda",,,7.0,41.2,3.6,229,0.5,2.2,0.6,,,0.2,0.7,2.0,0.0,,,0.00011,4e-05,0.0004,0.00023999999999999998,4e-05,,1.98e-05,0.0,0.0,0.0,0.00115,,,0.0094,0.11,0.005900000000000001,,0.0004,0.29,0.0004,0.044,1.4e-06,6e-07,,
"Pasta per strudel, cruda",,,7.6,44.3,2.5,234,0.3,1.4,0.6,,,0.2,1.9,2.0,0.0,,,0.00013000000000000002,2e-05,0.0002,0.00031,0.0001,,1.0199999999999999e-05,0.0,0.0,0.0,0.0008100000000000001,,,0.022,0.11,0.0095,,0.0007,0.75,0.001,0.077,1.5e-06,9.000000000000001e-07,,
"Pasta per torta (con burro), cruda",,,6.7,38.5,21.2,375,12.4,4.9,1.3,,,0.3,0.8,1.8,0.055,,,0.00011999999999999999,2.9999999999999997e-05,0.00017999999999999998,0.00026000000000000003,8.999999999999999e-05,,8.8e-06,0.0,0.0,3e-07,0.00073,,,0.019,0.1,0.011,,0.0007,0.33,0.0008,0.072,1.4e-06,7e-07,,
"Pasta per torta (con grasso vegetale), cruda",,,6.6,38.1,23.5,394,10.8,9.3,2.5,,,0.2,0.8,1.8,0.0,,,0.00011999999999999999,2e-05,0.00017999999999999998,0.00026000000000000003,8.999999999999999e-05,,8.8e-06,0.0,0.0,0.0,0.00226,,,0.019,0.098,0.0078,,0.0006,0.32,0.0008,0.067,1.3e-06,7e-07,,
"Pasta per torta, integrale (con burro), cruda",,,7.6,33.8,21.5,372,12.4,4.9,1.8,,,0.7,0.8,6.1,0.055,,,0.00026000000000000003,0.0001,0.00035,0.00066,0.00025,,2.76e-05,0.0,0.0,3e-07,0.0009,,,0.072,0.22,0.02,,0.0019,0.34,0.0028,0.2,2.8999999999999998e-06,1.5e-06,,
"Pasta per torta, integrale (con grasso vegetale), cruda",,,7.6,33.7,20.2,359,6.1,9.4,4.3,,,0.6,0.9,6.1,0.0,,,0.00026000000000000003,0.0001,0.0004,0.00068,0.00025,,2.8100000000000002e-05,1e-08,0.0,8.000000000000001e-07,0.0034,,,0.072,0.23,0.018,,0.0019,0.35,0.0028,0.2,2.8e-06,1.8999999999999998e-06,,
"Pasta, secca",,,12.6,70.5,1.2,353,0.2,0.1,0.5,,,0.4,0.0,5.1,0.0,,,8.999999999999999e-05,5.9999999999999995e-05,0.002,0.0003,0.00017,,3.1e-05,0.0,0.0,0.0,0.00031,,,0.056,0.2,0.022,,0.0015,0.005,0.0015,0.17,5.1e-05,6e-07,,
"Pasta sfoglia (con grasso vegetale), cruda",,,5.7,35.1,24.3,385,10.9,9.8,2.6,,,0.1,1.0,1.6,0.0,,,8e-05,1e-05,0.00016,0.00016,2e-05,,5e-06,0.0,0.0,0.0,0.00242,,,0.0074,0.083,0.0046,,0.0003,0.4,0.0003,0.031,1.1e-06,5e-07,,
"Pasta sfoglia di quark (con burro), cruda",,,7.1,29.0,28.3,401,16.8,6.6,1.6,,,1.3,0.8,1.3,0.078,,,8.999999999999999e-05,0.00011999999999999999,0.00022,0.00027,7.000000000000001e-05,,1.17e-05,1.2e-07,0.0001,4.0000000000000003e-07,0.00083,,,0.016,0.11,0.038,,0.0006,0.33,0.0006,0.089,0.0,3.2000000000000003e-06,,
