name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Burger patty (beef), homemade, pan fried (without added fat)",,,18.3,6.5,12.0,208,4.8,5.3,0.9,,,1.3,0.7,0.7,86,,,0.05,0.14,4.85,,0.3,,14.5,1.1,2.3,0.5,0.35,,,18,280,21,,3.2,290.0,1.5,160,n.d.,7.7,,
"Burger, vegan, based on soy or pea protein, raw",,,18.0,4.1,11.1,197,5.5,3.4,2.1,,,1.9,1.2,4.3,n.d.,,,0.05,0.04,0.36,,0.05,,33.2,0,0.5,0,1.5,,,51,360,62,,1.8,490.0,2.9,200,6.6,15,,
"Butter, 40% fat",,,4.8,3.5,39.8,391,24.1,12,1.5,,,3.5,0.3,0,140,,,0.03,0.01,0.97,,0.02,,10,0.5,0,1.4,1,,,14,160,120,,0.4,120.0,0,90,n.d.,3.5,,
Butter cake,,,6.9,44.7,24.7,430,13.7,6.1,1.7,,,26.6,0.2,0.8,158,,,0.09,0.1,0.1,,0.07,,24.2,0.38,1.5,1.1,0.96,,,13,99,21,,0.7,68.0,0.9,94,7.3,12,,
"Butter, cheese dairy",,,0.4,0.6,82.5,747,49.5,19.4,3.8,,,0.5,0.0,0,246,,,0,0.02,0,,0,,0,0,0,1.3,2.2,,,1,18,12,,0.2,10.0,0,18,n.d.,0,,
"Butter, clarified",,,0.1,0.0,98.3,885,58.9,23.1,4.5,,,0,0.0,0,282,,,0,0,0,,0,,0,0,0,1.6,1.77,,,0,5,2,,0.2,10.0,0,0,0,0,,
"Butter croissant, white",,,8.7,43.5,24.2,432,14.1,5.7,1.5,,,3.3,1.2,2.6,77,,,0.12,0.11,0.59,,0.11,,21.5,0.1,0.3,0.5,0.71,,,25,170,52,,0.9,490.0,1,120,3.5,3,,
"Butter croissant, wholemeal",,,6.8,37.3,19.7,365,11.4,4.6,1.3,,,1.2,1.1,5.2,63,,,0.12,0.07,0.67,,0.1,,22.4,0.04,0,0.4,0.72,,,24,160,15,,1,440.0,1,110,2.1,2.5,,
"Butterhead lettuce, raw",,,1.3,1.1,0.4,16,0.1,0,0.2,,,0.7,0.0,1.3,0,,,0.07,0.1,0.5,,0.05,,50.1,0,8.2,0,0.3,,,12,230,41,,0.3,10.0,0.5,28,0.1,0.6,,
Buttermilk,,,3.4,4.0,0.5,34,0.3,0.1,0,,,4,0.1,0,1,,,0.03,0.16,0.1,,0.04,,5,0.2,0.6,0,0.02,,,16,150,110,,0.5,57.0,0.1,90,n.d.,7.3,,
Butter of choice,,,0.7,0.7,82.3,746,49.4,19.3,3.8,,,0.6,0.0,0,241,,,0,0.04,0.04,,0,,0,0.07,0,1.1,1.77,,,1.5,21,18,,0.2,10.0,0,22,0.5,8,,
Cabbage sausage,,,15.9,1.6,32.4,363,11.8,15.1,3.6,,,1.5,2.5,0.8,46,,,0.44,0.13,2.69,,0.27,,12.1,1.05,72.9,0,0.68,,,17,160,15,,1.1,990.0,0.7,72,n.d.,1.4,,
"Cabbage vegetables (average), boiled (without addition of salt and fat)",,,2.1,3.1,0.5,31,0.1,0.1,0.2,,,2.6,0.0,2.7,0,,,0.06,0.07,0.42,,0.15,,30.5,0,50,0,0.69,,,14,260,46,,0.3,11.0,0.4,46,0.8,2.9,,
"Cabbage vegetables (average), raw",,,2.2,3.3,0.5,32,0.1,0.1,0.2,,,2.7,0.0,2.8,0,,,0.07,0.08,0.52,,0.18,,50.8,0,70.4,0,0.7,,,15,310,49,,0.3,13.0,0.5,48,0.9,3.1,,
"Cake dough, whole (with butter), raw",,,7.6,33.8,21.5,372,12.4,4.9,1.8,,,0.7,0.8,6.1,55,,,0.26,0.1,0.35,,0.25,,27.6,0,0,0.3,0.9,,,72,220,20,,1.9,340.0,2.8,200,2.9,1.5,,
"Cake dough, whole (with vegetable fat), raw",,,7.6,33.7,20.2,359,6.1,9.4,4.3,,,0.6,0.9,6.1,0,,,0.26,0.1,0.4,,0.25,,28.1,0.01,0,0.8,3.4,,,72,230,18,,1.9,350.0,2.8,200,2.8,1.9,,
"Cake dough (with butter), raw",,,6.7,38.5,21.2,375,12.4,4.9,1.3,,,0.3,0.8,1.8,55,,,0.12,0.03,0.18,,0.09,,8.8,0,0,0.3,0.73,,,19,100,11,,0.7,330.0,0.8,72,1.4,0.7,,
"Cake dough (with vegetable fat), raw",,,6.6,38.1,23.5,394,10.8,9.3,2.5,,,0.2,0.8,1.8,0,,,0.12,0.02,0.18,,0.09,,8.8,0,0,0,2.26,,,19,98,7.8,,0.6,320.0,0.8,67,1.3,0.7,,
Cake financier,,,11.1,38.5,26.1,440,8.1,12,4,,,29.9,0.1,3.3,31,,,0.06,0.35,0.57,,0.05,,17.3,0.08,0.1,0.2,7.34,,,71,260,80,,1,45.0,1,150,3.7,1.9,,
