name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Edible boletus, stewed (without addition of fat and salt)",,,6.1,0.6,0.5,46,0.1,0,0.2,,,0.1,0.0,7.3,0,,0,0.3,1.03,14.28,2.7,0.03,,18.3,0,1.7,3.8,0.19,,,12,320,5,,1.6,6.4,1,98,n.d.,4.2,,
"Egg liqueur, 16.5 vol%",,,4.4,30.8,7.7,313,2.2,3.2,1.1,,,30.8,0.0,0.0,165,,161,0.08,0.19,0.06,1.16,0.09,,44,0.55,0.3,2.2,0.59,,,4.4,15,15,,0.5,5.5,0.8,55,n.d.,1.1,,
"Egg white, raw",,,10.8,0.4,0.0,45,0,0,0,,,0.4,0.5,0.0,0,,0,0.02,0.42,0.04,0.28,0.04,,10,0.33,0,0,0,,,11,150,5.1,,0,190.0,0,12,12,7.5,,
"Egg yolk, raw",,,16.4,0.3,31.3,349,8.8,12,5,,,0.2,0.1,0.0,1255,,447,0.2,0.59,0.04,4.53,0.35,,122,3.42,0,5.6,5.16,,,12,120,140,,3.8,52.0,5.5,560,48,110,,
"Egg, raw",,,12.6,0.3,9.8,140,2.6,3.7,1.7,,,0.3,0.4,0.0,350,,112,0.1,0.29,0.05,2.43,0.09,,67,1.31,0,2.8,1.23,,,12,150,48,,1.2,150.0,1.8,200,23,39,,
"Eggplant piccata, prepared",,,5.6,8.9,8.3,138,2.3,4.2,1,,,2.3,0.2,2.7,67,,48,0.05,0.09,0.56,0.57,0.08,,18.8,0.32,1.1,0.5,0.66,,,17,230,73,,0.6,96.0,0.6,93,n.d.,9,,
"Eggplant slices, breaded, prepared",,,4.7,14.6,5.8,136,0.7,3.6,0.9,,,2.7,0.2,3.1,47,,20,0.06,0.07,0.63,0.51,0.08,,19.4,0.17,1.1,0.4,0.62,,,17,230,23,,0.4,62.0,0.6,60,n.d.,5.7,,
"Eggplant, raw",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,8,0.04,0.03,0.72,0.25,0.08,,24.5,0,1.9,0,0.17,,,14,240,12,,0.1,2.5,0.3,21,3.9,0.1,,
"Eggplant, steamed (without addition of salt)",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,8,0.03,0.03,0.62,0.23,0.07,,15.8,0,1.5,0,0.18,,,14,210,12,,0.1,2.3,0.3,21,4,0.1,,
"Eggplant, stewed (without addition of fat and salt)",,,1.3,2.8,0.2,24,0,0,0.1,,,2.8,0.0,3.2,0,,9,0.04,0.04,0.72,0.26,0.08,,18.4,0,1.7,0,0.21,,,15,230,15,,0.2,2.7,0.3,25,4.6,0.1,,
